word,mini,en
atomo-113,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-114,kemi sino de atomo-114 a Fl.,The chemical symbol of flerovium is Fl.
atomo-115,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-116,kemi sino de atomo-116 a Lv.,The chemical symbol of livermorium is Lv.
atomo-117,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-118,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-enejia,atomo-enejia e sekura.,Nuclear power is safe.
Australia,mi i ave janji a Tom ke mi i da go a Australia kon si-viro.,I've promised Tom I'd go to Australia with him.
ave,animale i ave manja.,The animal has eaten.
ave,mi i arapan ke tu i go ave a bon afa-semi-dia.,I hope you have a good afternoon.
ave,Sami i de ave a si diji en si labi an i de roga go Layla ke si i no debe make a sono.,Sami had his finger on his lips and asked Layla not to make a sound.
ave-a,da a ave-a ato-name.,That's a transitive verb.
baka,Ziri i de kuri go baka mun.,Ziri ran to the back door.
baka-dona,Tom i de baka-dona a si note-pape en si teta poke.,Tom put his pad back into his breast pocket.
baka-go,si-viro i de baka-go a Danmak.,He went back to Denmark.
baka-go,Tom i de veni en dia-1 an i de baka-go e uno dia afa.,Tom came on Monday and went back the day after.
baka-pale-tori,go-i mori a baka-pale-tori.,To kill a mockingbird.
Barbari,en-i etudi a Barbari de-i ave e vere joli go mi.,Studying Berber has been a real joy for me.
base,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
base,Jordan Peterson e raro seketa-man ke i base a si idea en mentira mentira-siensa de Carl Jung.,Jordan Peterson is a weird mystic who bases his ideas on the discredited pseudoscience of Carl Jung.
basilo,di i go mori a basilo.,This will kill the bacteria.
bebe-pota,tu e bebe-pota?,Are you pregnant?
begin,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
begin,junta i de ave begin ludi o jusa ven regen i de begin.,The teams had just started to play when it began to rain.
bela,i mira a tingi bela feme ke i en ereki e da.,Look at the tall pretty girl standing there.
beli,"beli a peso de bodi de man, si e en bodi.","The stomach is part of people’s bodies, it is inside the body."
beso,si i de e apara ke si-viro i de vole beso a mi.,It was obvious that he wanted to kiss me.
besonde,e no nese go-i dire ke si-feme e besonde piano-man.,It is not necessary to say that she is an excellent pianist.
bete,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
bibe,man i bibe a vasa.,A person drinks water.
bibe,Tom i de bibe a si kafe.,Tom sipped his coffee.
bisinesa-man,bisinesa-man i en-pota a 200 kilo-gama de vino-beri.,The businessman imports 200 kilograms of grapes.
bodi,bodi de viro e no sama bodi de feme.,The body of a man is not like the body of a woman.
bodi-peso,no o viva bodi-peso i de e duka.,No vital organs were damaged.
bon,mega viro i go veni e bon.,The big man will be good.
bon,mi i arapan ke tu i go ave a bon afa-semi-dia.,I hope you have a good afternoon.
bon,si-uno i no nese dire ke vere-fule-neso e da ma bon ajenda.,It goes without saying that honesty is the best policy.
botelo,i favo pota a semi botelo de vino go mi.,Please bring me a half-bottle of wine.
Brasil,Brasil e mui rika; si rika e mui mega; kafe e uno de si o da ma mega rika.,Brazil is very rich; its richness is immense; coffee is one of its greatest riches.
buku,di buku e de-i note de mi.,This book is written by me.
buku,si-viro i de note a buku ke i dona-mala-name a Aljeri.,He wrote a book criticizing Algeria.
da,"mi da make a da, pero mi no kan.","I would do that, but I can't."
da,Tom an Mary i de dire ke si-ale i da e di.,Tom and Mary said they would be here.
da,Tom i da no favo a Australia.,Tom wouldn't like Australia.
dalili,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
dare,amo i nese a dare.,Love needs courage.
de,i jage a sino de fungi-veni.,Look for signs of decomposition.
de,Mary i de muta o fini a si-feme menta.,Mary eventually changed her mind.
de,mega viro i de manja.,The big man ate.
debe,Aljeri i debe kata a relate kon Saudi-arabia?,Should Algeria cut its ties with Saudi Arabia?
debe,da e sama si i debe veni.,That's how it has to be.
defende,i defende de rontgen-radi.,Protect from x-ray.
deja,tu i ave voka o deja a sano-karo?,Have you already called an ambulance?
Delauer,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
demon,ale demon i de apara e sama tempo go-i kapa a si-ale mudi-make.,The demons came out all at once to capture their prey.
den,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
denta,Tom de-i denta de naga.,Tom was bitten by a snake.
dereko-filoso,si-feme dereko-filoso e elasi.,Her ethics are flexible.
deside,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
desini-evento,mui desini-evento de-i kan veni dona.,Numerous examples can be given.
deteki,mi i pensa ke mi i kan deteki a tu domo.,I think I can find your house.
develo,"veji i develo en gaden, sama foli-veji, rondo-foli-vejii, onion, alio, melon, bianka-kera-veji, bianka-rondo-radika-veji, ruja-rondo-radika-veji, kavalo-rondo-radika-veji, roka-antika-gadi, longo-midori-melon an oranje-melon.","Greens and vegetables grow in gardens, such as lettuce, cabbage, onions, garlic, gourd, parsnip, turnip, radish, horse radish, parsley, cucumbers and pumpkin."
di,i lase a mi ke mi i make a di e mi jalan.,Let me do this my way.
di,tu kinde e no di go ke rason?,Why aren't your children here?
dia,fete e en dia seven.,The party's on Sunday.
dia,mi i dia a si sama 1730.,I date it as 1730.
dia-1,Tom i de veni en dia-1 an i de baka-go e uno dia afa.,Tom came on Monday and went back the day after.
dia-5,mi i no kan arapan-kipa ke dia-5 i veni.,I can't wait for Friday to come.
diji,Sami i de ave a si diji en si labi an i de roga go Layla ke si i no debe make a sono.,Sami had his finger on his lips and asked Layla not to make a sound.
dika,dika feo bebe.,Fat ugly baby.
dimenti,mi i de dimenti redi a siren go sekola.,I forgot to set the alarm for school.
dipa-bore,nu demo e lati-maladi de poten dipa-bore.,The new show is plagued by an aggressive ennui.
dipa-enejia,Tom i ave a vile-tempo de dipa-melankoli de-i sige de lin de dipa-enejia ato.,Tom has periods of debilitating depression followed by bursts of manic activity.
dipa-melankoli,Tom i ave a vile-tempo de dipa-melankoli de-i sige de lin de dipa-enejia ato.,Tom has periods of debilitating depression followed by bursts of manic activity.
dire,"se tu i dire go Tom ke si-viro i debe make a ke, mi e sure ke si-viro i go make a si.","If you tell Tom what to do, I'm sure he'll do it."
dire,i dire a si-feme ke man-ale e di.,Tell her that everyone is here.
dire-abuso,viro-paren de Sami i de dire-abuso o mui a si.,Sami's father put him down a lot.
direto,ke man i de direto a kino?,Who directed that film?
divi-man,divi-man a en-fini junta en Kabeile.,The separatists are a marginal group in Kabylie.
dogi,dogi i tose.,Dogs bark.
dona,Tom de-i dona a da labora.,Tom was assigned that task.
dona,tu i debe dona a open-make go Tom i make a da.,You should give Tom a chance to do that.
dona-mala-name,"an si-viro i de dona-mala-name a Abimelech ka fonte, ke si-viro dulo i de ave robare o poten.","And he reproved Abimelech for a well of water, which his servants had taken away by force."
dona-mala-name,"ante tu i dona-mala-name a some, tu i debe kamina a uno-punto-sita-kilo-mita en si sapato.","Before you criticize someone, you should walk a mile in their shoes."
dona-mala-name-man,ale man a dona-mala-name-man.,Everybody's a critic.
dua,mi i dua a tu. mi i ave a mari-feme an kinde.,I beg you. I have a wife and children.
duka,"via penta ano de duka o sela-develo-maladi terapi, si-viro i de fini-make kipa a dereka fase.","Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip."
duka,mi i ave duka sama mui sama tu.,I've suffered as much as you have.
dulo,"an si-viro i de dona-mala-name a Abimelech ka fonte, ke si-viro dulo i de ave robare o poten.","And he reproved Abimelech for a well of water, which his servants had taken away by force."
duo,di kosa i ave a duo peso.,This thing has two parts.
duo,mi i de mira a di duo man; ale di man.,I saw these two people; all these people.
duo-numa,ten duo a duo-numa.,Twelve is an even number.
duro,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
duro,vere duro e ke tu i no savi o ankora ke mi-ale i ave a duro.,The real problem is you don't even know we have a problem.
dusa,mi-ale i no kan lase mori a di fiore. i favo dusa a si.,We can't let these flowers die. Please water them.
e,da e go tu.,That’s for you.
e,manja e Bob.,The food is Bob's.
e,Tom i de dire go mi ke si-viro i de en senti e mini fatiga.,Tom told me he was feeling a bit tired.
e,tu e da ma nulo-senti man ke mi i ave enkonte o ni.,You're the most inconsiderate person I've ever met.
Ebru,tu i pale a Ebru?,Do you speak Hebrew?
edu-evento,edu-evento i de e ke moda?,How was the seminar?
ego-mori,mi i go ade a tu ego-mori.,I shall assist your suicide.
Eire-linga,mi i pale a Eire-linga e kada dia.,I speak Irish every day.
eki,"tu i vole go a eki kon fami, di-dia?",How about going on a family outing to the woods today?
eki,eki i en veni e mui kalori.,It's really getting warm outside.
eki-kapa,si-feme i de eki-kapa o obe-jura a si-ego de si-viro.,She legally emancipated herself from him.
eki-kapa,Tom i de eki-kapa a uno de si-viro dulo.,Tom emancipated one of his slaves.
eki-pota,"ota eki-pota kon jin, liki-metali, atomo-92, natura aero, an, en some ano, eleki.","Other exports include gold, mercury, uranium, natural gas, and - in some years - electricity."
eleki-metodo-uti,di komputa i ave a Pentium eleki-metodo-uti.,This computer has a Pentium processor.
eleti,Tom i eleti a si natura-eleti.,Tom goes with his gut.
elika-poten-pin,i tensa a di elika-poten-pin.,Tighten this screw.
en,animale i en manja.,The animal is eating.
en,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
en,mi i kipa en.,I stay in.
en,si-feme i de go en si-feme moto-bike.,She took off on her motorcycle.
en-fini,divi-man a en-fini junta en Kabeile.,The separatists are a marginal group in Kabylie.
en-relate,mi-mui i de en-relate a si-ale.,We adopted them.
en-relate,Tom i de e en-relate.,Tom was adopted.
en-savi,"si-viro i de en-savi a mi ke viva i ke, an mori i sinifi a ke, an rason ke amo e ma poten sama si-duo.","He made me see what Life is, and what Death signifies, and why Love is stronger than both."
en-savi,mi e fule en-savi de tu nulo-vina.,I'm clearly convinced of your innocence.
enejia,sole-luse i make ke mala-eleki-peso en sela i move an enejia e make.,The sunlight makes the electrons in the cells move and energy is produced.
enejia-kaja,enejia-kaja de-i no kon.,Batteries not included.
enkonte,mi-ale i go enkonte e sige-dia?,Are we meeting tomorrow?
enkonte,tu e da ma nulo-senti man ke mi i ave enkonte o ni.,You're the most inconsiderate person I've ever met.
erase-sesi,kemi erase-sesi i kan orijen a sela-develo-maladi.,Chemical castration could cause cancer.
erase-sesi-viro,erase-sesi-viro a erase-sesi viro dulo.,Eunuchs are castrated male slaves.
ereki,i mira a tingi bela feme ke i en ereki e da.,Look at the tall pretty girl standing there.
ero,tu i de veni e mui furi ka si-viro ero go ke rason?,Why did you get so angry at his mistake?
esi,mega ave i no kan esi no kon nulo-jura-neso; mui name i no kan esi no kon mentira.,Great possessions cannot exist without injustice; a multitude of words cannot exist without a lie.
esita,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
etudi,en-i etudi a Barbari de-i ave e vere joli go mi.,Studying Berber has been a real joy for me.
etudi,tu i vole etudi o mui a si?,Do you want to study it further?
eve,"di eve, si-viro e en eve labora.",He is on night duty tonight.
evento,"vile de evento, mi no bibe a ani kosa.","During the event, I didn't drink anything."
fara,Tom i viva e fara,Tom lives a long way from here.
farina-monte,mi-ale i de kamina e en farina-monte.,We walked on the dune.
Faser,si-viro i de veka a si-viro fili go Faser dua.,He woke his son up for the fajr prayer.
fava-nuki,da a nata de fava-nuki?,Is that peanut butter?
favo,gato i favo a fiba.,Cats like yarn.
favo,i favo pota a semi botelo de vino go mi.,Please bring me a half-bottle of wine.
feme,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
feme,mi i no favo a feme sama da.,I don't like women like that.
feme-kinde,tu a feme-kinde u viro-kinde?,Are you a girl or a boy?
fen,i vaku a fen.,Drain the swamp.
feruta,di feruta e meno ruja sama da.,This fruit is less red than that one.
fete,fete e en dia seven.,The party's on Sunday.
fiba,a no ruja fiba.,There's no red thread.
fide,si-uno i no kan fide a si-feme.,She cannot be trusted.
figura,"se tu a no amigo, tu i ave a figura de amigo e ke rason?","If you are not a friend, why are you friend shaped?"
figura,Tom e en ma bon fisika figura sama mi.,Tom is in better physical shape than I am.
fili,si-viro i de veka a si-viro fili go Faser dua.,He woke his son up for the fajr prayer.
fini,Mary i de muta o fini a si-feme menta.,Mary eventually changed her mind.
fini,Tomi i no kan fini a di labora en uno dia.,Tom can't finish this job in a day.
fini-make,"via penta ano de duka o sela-develo-maladi terapi, si-viro i de fini-make kipa a dereka fase.","Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip."
fisika,Tom e en ma bon fisika figura sama mi.,Tom is in better physical shape than I am.
fobo,mi i go mira a fobo kino.,I'm going to see a horror film.
fobo-sonjo,ale de di saga e sama sera-fobo fobo-sonjo.,This whole story is like a claustrophobic nightmare.
fogo-monte,fogo-monte i de kabuma.,The volcano erupted.
foli-lan,Pluton i ave a ise foli-lan.,Pluto has ice plains.
fonte,a ke mui vasa e en da fonte?,How much water is there in that well?
fore,"nun, i go e fore.",Now go forward.
foreta,"mi i kamina en foreta, pero si i kipa en.","I walk in the forest, but he stays inside."
fule,mi e fule en-savi de tu nulo-vina.,I'm clearly convinced of your innocence.
fule,Tom i de kuri e fule rapi.,Tom ran at full speed.
furi,"mi e no furi go tu, no ma.",I'm not mad at you anymore.
furi,Julius i punjo o furi a sadi viro-kinde.,Julius angrily beats the rude boy.
gaden,Großer Tiergarten u Tiergarten e mega komun gaden de-i loke en semi de Belin.,The Großer Tiergarten or Tiergarten is a large public park located in the middle of Berlin.
gana,"mebi, Tom i go no gana o ni.",Tom probably won't ever win.
gato,gato i favo a fiba.,Cats like yarn.
gen,si-viro i de gen a si.,He repeated it again.
gen-begin,i mori a mi an den i gen-begin a mi kore,Kill me and then restart my heart.
gen-rondo,i memo go-i gen-rondo.,Remember to recycle.
gene,mi-ale i ave a sama gene.,We have the same genes.
go,"tu i vole go a eki kon fami, di-dia?",How about going on a family outing to the woods today?
go,mega viro i go manja.,The big man will eat.
go,mi i go mira a fobo kino.,I'm going to see a horror film.
go,si mebi kan go.,He might be able to go.
gota,gota i de gota.,Drops dripped.
gule,mi gule i senti e seko.,My throat feels dry.
gun,"Tom i de puse a gun-boton, pero gun i de no gun.","Tom squeezed the trigger, but the gun didn't fire."
i,Mary i de dire ke si-feme i de senti a mare-maladi.,Mary said that she felt seasick.
i,mi i vole sesi a tu.,I want to make love with you.
ia,go-i ia ke tu i dire a da i make ke mi i senti e ma bon.,It makes me feel better to hear you say that.
idea,Jordan Peterson e raro seketa-man ke i base a si idea en mentira mentira-siensa de Carl Jung.,Jordan Peterson is a weird mystic who bases his ideas on the discredited pseudoscience of Carl Jung.
ila,ke man i de deteki a ila?,Who discovered the island?
ila-junta,Nipon a mega ila-junta.,Japan is an enormous archipelago.
imaje,tu i de pone a si-feme imaje e en ke?,Where did you put her picture?
info,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
inta,viro-kinde i de sede inta feme-kinde.,The boy sat among the girls.
invite,mi i de no invite a tu.,I didn't ask you out.
ise-lan,navi i de kolidi a ise-lan.,The ship hit an iceberg.
ise-tori,da a ise-tori?,Is that a penguin?
jage,i jage a sino de fungi-veni.,Look for signs of decomposition.
jaketa,da jaketa i de debe kote a rama an noga go tu.,That jacket must've cost you an arm and a leg.
jalan,tu i no kan go a u jalan.,You can’t go either way.
janji,mi i ave janji a Tom ke mi i da go a Australia kon si-viro.,I've promised Tom I'd go to Australia with him.
jeritan,Tom i jeritan o tuju go mi.,Tom always yells at me.
jeti,mi-ale i jeti a oso en base.,We throw the bones onto the floor.
jin,mi i nese a ma jin.,I need more gold.
joli,"nun, Tom e da ma joli man en mundo.",Tom is the happiest person in the world right now.
joli,en-i etudi a Barbari de-i ave e vere joli go mi.,Studying Berber has been a real joy for me.
joli-arapan,tu e joli-arapan?,Are you satisfied?
joli-man,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
Josunmau,en-i etudi a Josunmau e duro.,Learning Korean is difficult.
junta,divi-man a en-fini junta en Kabeile.,The separatists are a marginal group in Kabylie.
junta,junta i de ave begin ludi o jusa ven regen i de begin.,The teams had just started to play when it began to rain.
jura-junta,popula i de no aseta a jura-junta.,The people rejected the constitution.
jusa,junta i de ave begin ludi o jusa ven regen i de begin.,The teams had just started to play when it began to rain.
ka,"an si-viro i de dona-mala-name a Abimelech ka fonte, ke si-viro dulo i de ave robare o poten.","And he reproved Abimelech for a well of water, which his servants had taken away by force."
ka,tu i de veni e mui furi ka si-viro ero go ke rason?,Why did you get so angry at his mistake?
kada,kada uno i leje a uno sentense.,Read one sentence each.
kada,mi i pale a Eire-linga e kada dia.,I speak Irish every day.
kafe,Brasil e mui rika; si rika e mui mega; kafe e uno de si o da ma mega rika.,Brazil is very rich; its richness is immense; coffee is one of its greatest riches.
kaja,"medi, vino de kaja e no mui bon.",Boxed wine isn't usually very good.
kaja,tu kaja.,Your box.
kaja-sino,i pone a name en kaja-sino.,Put the word in parentheses.
kali,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
kalori-fonte,"safari-man i de en ereki e en rondo de kalori-fonte, en-i superise-gape.","Tourists were standing round the geyser, gawping."
kamera,di a mi kamera.,This is my room.
kamina,"ante tu i dona-mala-name a some, tu i debe kamina a uno-punto-sita-kilo-mita en si sapato.","Before you criticize someone, you should walk a mile in their shoes."
