word;meaning
open-neso;accessibility, openness
open;open
opitala-fobo;nosocomephobia
opitala;hospital
ora-uti-direto;clockwise (direction)
ora-uti;clock
ora;hour, o'clock, clock time
oranje-kera-veji;carrot
oranje-melon;pumpkin
oranje;orange
orijen;origin, source, original
Oseania;Oceania
osila;oscillate, swing, a swing
oso;bone
osura;shadow, shade, obscure, hide, hidden
ota-sesi;heterosexual
ota;other, different
otelo;hotel
otono;autumn
oven;oven, furnace, bake, heater
ovi-man;shepherd
ovi;lamb, sheep
ovo-veji;eggplant, aubergine
ovo;egg
padon;pardon, forgive, condone, an excuse
paga;pay, payment, spend
paisa;nation, country, national
paketa-12;dozen
paketa;package, parcel, packet, bundle
Pakistan;Pakistan
pale-man;spokesperson, spokesman, spokeswoman
pale;talk, speech, discussion, speak
pan;bread
panta;pants, trousers
papaver-kemi;opium
Papaver;Poppy (flower)
pape;paper
papilon;butterfly, moth
para;stop, halt
parada;parade, march, procession
paren;parent
pari;bet, wager, gamble
parija;grill, grid, grate, broiler, gridiron
Parisi;Paris (France)
pasa-dia;yesterday
pasa-pota;passport
pasa;pass, happen, past, marks habitual tense
pase-tori;dove, pigeon
pase-veni;calm, chill out, calm down, quiet down, appease
pase;peace, peaceful
paso;step, stride, pace
patata;potato
patio;patio, courtyard, yard
pato-mira-fobo;anatidaephobia
pato;duck, goose, swan, waterfowl
pausa;pause, break, interruption
pedi-balo;football, soccer
pedi;foot, by foot, kick, stomp
Pekin;Beijing (China)
pele-sofio-maladi;dermatitis, eczema
pele;skin, surface, peel, hide (animal)
pelo-bovi;bos grunniens, yak, domestic yak, tartary ox, grunting ox, hairy cattle
pelo;hair, fur, feather, hairy
pen;pen, pencil, stylus
pende;hang, hanging, suspension, suspense
penelo;brush, comb, sweep
pensa;think, thought
Pensilvania;Pennsylvania
penta;five, 5
pepa;pepper, spicy
peribadi-pubili;dox, doxx, doxing, doxxing
peribadi;private, privacy
pero;but, except
Peru;Perú
peso;piece, part, component
pianeta;planet, planetary
piano-man;pianist
piano;piano
piato;plate, dish, disc, tray, to plate
piega;fold, crease
pigi;pig, boar
pigu;butt, ass
pika-senti;tingle, tingling, shiver or prickle sensation
pika;prick, pierce, sting
pila;yellow
pile;pill, pellet, bullet
pilo;pillow, cushion
pin-fobo;trypanophobia
pin-senti;paresthesia, tingling on the skin
pin;pin, needle
pinta;paint, painting, painted
pipi;pee, urinate
pirami;pyramid
pirata;pirate
piron;fork
Pisa;pizza, Pisa (Italy)
pisi-fobo;ichthyophobia
pisi;fish
pisina;pool of water, pond, swimming pool
piti;pity, mercy, compassion, sympathy, sympathize
piuma;feather
poesi;poem, poetry, poetic
poke;pocket
polisa;police
politi;politics, political, politicize
polo-fobo;alektorophobia
polo;chicken, fowl
Polska;Poland, Polska
Polski;Polish (language), polski
poma;apple
pone-name;describe, description
pone-sinifi;define, definition
pone;put, lay, place
ponte;bridge
Popula republika de kongo;People's Republic of the Congo, République populaire du Congo (not to be confused with 'Popula-regula-gove republika de kongo', 'Kongo')
Popula-regula-gove republika de kongo;Democratic Republic of the Congo, DRC, République démocratique du Congo, RDC (not to be confused with 'Kongo', 'Popula republika de kongo')
popula-regula-gove;democracy
popula;people, population, populate, populous, popular
Portugal;Portugal
Portukale;Portuguese (language), português
Posol;Pozol (drink)
Posole;Pozole (food)
pota-neso;transportation
pota;carry, transport, transfer, port, cargo
pote;pot, pan, cauldron, crucible, saucepan
poten-pin;nail (fastener)
poten;power, force, strong
pove;poor, poverty
pubili-dua;campaign (movement), solicit votes, push for
pubili;print, publish
puja;worship, praise, adore, adoration
puko;knife, dagger, stab
pulasi;plastic, plastics, malleable
pumpa;pump (motion + tool)
puni;punish, punishment
punjo;fist, punch, knob, hilt, handgrip
punto-impotan;focus, emphasis
punto;point, dot, spot, indicate, pointy, sharp
pupe;doll, puppet
pura;pure, clean, cleanse
puse;press, push, shove
radi-uti;radio (machine)
radi;ray, beam, radiate, bolt, radius
radika;root, rooted, rhizome, tuber
raja-senjore;majesty, highness
raja-topi-viru;coronavirus
raja;ruler, royal, king, queen
raka;rack, shelf, ledge
rama;arm, limb, branch
rampa-sino;slash, stroke, solidus, forward slash, diagonal, /
rampa;ramp, lean, incline, slope, bow, slant, tilt, tilted
rana;frog, toad
randon;random, arbitrary, caprice
ranko;rank, status, ordering, -th (ordinal)
rano;early, too soon
rapi-kemi-reaki;catalysis
rapi;fast, speed, quickly
raro-fase;gurn, gurning
raro-tera-atomo;rare-earth element, REE, rare-earth metal, rare-earth oxides, rare earth
raro;rare, weird, strange
rasa-divi;racial segregation
rasa;race, ethnicity, racial
raso;shave, scrape, graze, scratch
rason;reason, cause, explanation
ratio;ratio, rate, proportion, fraction
reaki-makina;telephone answering machine, answerphone
reaki;answer, response, reaction
rebele;rebel, rebellion, revolution, treason, rebellious
redi;ready, available, prepare, preparation
refere;refer to, reference, mention, allusion
regen-aroma;petrichor
regen-fobo;oluviophobia
regen-uti;umbrella
regen;rain
regula-feme;dominatrix
regula;regulate, regulation, control, ruler (tool), a rule
reka;right (direction)
rela;rail, train, bar
relate;relate, relation, relationship, connection, connect with
relijon-mesa;altar, shrine
relijon;religion, religious
remo;oar, rudder, to row
rena;kidney
renta;rent, borrow
reo;flow, current, rhythm, influence
repare-vari;edition, edit, version (not to be confused with 'muta-numa')
repare;fix, correction, improvement, repair, mend
repubika;republic, republican
resi-figura;lie down, lay down
resi;rest, sleep
retili-fobo;herpetophobia
retili;reptile, crawl, creep
retorante;restaurant
revela;reveal, divulge, disclose, revelation, disclosure
rika;rich, wealth
rima;rhyme, rhyming
ringo;ring, loop, hoop, circuit, halo
rio;river, stream (prefer 'riva')
Rioha;La Rioja
risa;laugh
risiti-labora;hire, employ (as worker)
risiti-valu;estimation, appraisal, judgment, judgement, evaluation, appreciation
risiti;receive, get, receipt, acknowledge, reception
riso;rice
rite-neso;formality
rite;rite, ceremony, ceremonial
riva-kavalo;Hippopotamus amphibius, hippopotamus
riva;river, stream
roba;dress, robe
robare;steal, theft
roboto;robot
roden;rodent (non-mouse), squirrel, beaver
roga;ask, question
roka-antika-gadi;parsley
Roka-raka;Rockledge (place)
roka;rock, stone
roketa;rocket, missle, projectile
rompe;break, rupture, smash, disrupt
rondo-foli-veji;cabbage
rondo-kaja-sino;round brackets, parentheses, ()
rondo-nun;turn (turn to play)
rondo;circle, round, around
ronko-dire;complain
ronko;snore, grunt
Rontgen-radi;X-ray
ropa;clothing, wear
rosa;pink, rose
ruina;destroy, ruin, destruction, downfall
ruja-bulu;magenta
ruja-lati-maladi;smallpox, red plague
ruja-roka;ruby
ruja-rondo-radika-veji-maladi;raphania (sickness)
ruja-rondo-radika-veji;radish
ruja-veni;irritation, irritate, irritant, sore
ruja;red
rumora;gossip, rumor, rumored
runguma;hug, embrace
rusa;deer
ruse;trick, hoax, ruse, fraud, scam, tricky
Rusia-linga;Russian (language)
Rusia;Russia
ruto;burp, belch
saara-lago;oasis
saara;desert
Saara;Sahara
sadi;mean, cruel, sadistic
safari-man;traveler, adventurer
safari;journey, voyage, trip, travel, adventure, adventurous
saga-kompare;analogy
saga-man;storyteller, fabulist
saga-pota;metaphor
saga;story, narrate, fictional
saje;wise, wisdom
sake;alcohol, liquor
sako;bag, sack
saliva;saliva, spit, expectorate
salo;salt, salty, seasoning
salon;salon, parlor
salu;hello, greet, greeting, salute, goodbye, bye
sama-manja;cannibalism
sama-sama;you are welcome
sama-sesi;homosexuality, homosexual, gay, lesbian
sama-sinifi;synonymous
sama;like, as, than, same
san;three, 3
sando;sandwich
sange-fobo;hemophobia
sange;blood, bleed
sano-karo;ambulance
sano-neso;healthcare
sano;health, healthy, heal
Santi-feme-paren-monte;Holy Mother (Mount Everest) (see 'Jomoglanma', 'Everest')
santi-man;saint
santi;holy, spiritual
sapato;shoe
Saudi-arabia;Saudi Arabia, Kingdom of Saudi Arabia, KSA
sava;save, rescue, salvation, salvage, retrieve
savaje;wild, savage, feral, uncivilized, wilderness
savi-man;expert
savi-suma-buku;encyclopedia, encyclopædia
savi;know, understand, knowledge
savon-gadi;cilantro, coriander
savon;soap
Sbaria;Sweden, Sverige
se;if, whether
seda;silk
sede;sit, seat, chair
sekeleton;skeleton, framework, scaffolding
seketa;secret, mystery
seko;dry, dryness
sekola;school
sekon;second (time)
sekura;secure, safe, safety, security
sela-develo-maladi;cancer, cancerous
sela;cell (biology + room)
selo;sky
semana;week, weekly
semen;seed
semi-aje;middle age (era, human age), medieval
semi-dia;noon, midday
semi-pota;semiconductor
semi-rondo;arc
semi;half, partial, incompletely
sena;scene, stage
sende;send, transmit, dispatch, broadcast, a post
seni;art, artistic
senjore;mr., ms., sir, madam, lord, master
senta-eve;midnight, middle of the night
senta;center, centre
sentense;sentence, phrase, proposition, verdict, conviction (legal)
senti-fobo;haphephobia
senti;sense, feel, touch, feeling
sento-ano-ovo;century egg, hundred-year egg, thousand-year egg, millennium egg, black egg, blacking egg
sento-ano;century
sento;hundred, 100
sera-fobo;claustrophobia
sera;close, shut, seal
sereale;grain, cereal, wheat
serebe;brain
seri;series, list, order, row, enumerate
serio;serious, earnest, seriousness
sesi-ego;masturbate, masturbation
sesi;sex, sexy, copulate, gender
sete;thirst, thirsty
Seuta;Ceuta
seven;seven, 7
severe;severe, strict
si-ale-ego;themselves
si-ale;they
si-duo;both
si-ego;himself, herself, itself
si-feme;she
si-kosa;it
si-ota;the other one
si-uno;one (indefinite pronoun)
si-viro;he
si;third person, he, she, it
sibi;sibling, brother, sister
sibila;whistle, hiss, fizzle, whiz, zip
Sidni;Sydney, Sidney (surname)
siensa-kamera;laboratory
siensa-man;scientist, researcher
siensa-mui;multidiscipline
siensa;science, scientific, -ology
sigaro;cigar, cigarette
sige-dia;tomorrow
sige;next, follow, subsequent, succeeding
Sikago;Chicago
Sikilia-lupo;Sicilian wolf, Canis lupus cristaldii
Sikilia;Sicily, Sicilia
silaba;syllable
silara;silver, silvery (see 'atomo-47')
silen;silence, silent
sili-man-fobo;coulrophobia
sili-man;clown
sili;silly, foolish, trivial, triviality
sina;chest, torso
Sina;China, Zhōngguó
sinda;cinder, ash, ashy
sinifi;meaning, to mean, sense, significance, significant
sino;sign, mark, symbol, signal, token, logo
sinti;sparkle, twinkle, polish, shine
siren;bell, siren, alarm, to chime, handbell, doorbell
sisora;scissors, shears
sita;six, 6
sitema;system, systematic, systematize
siti-neso;urbanism
siti-senta;downtown, city centre, city center
siti;city
sivi-neso;citizenship
sivi;citizen, civilian, civil, civilize
so;so, such
sofa;sofa
sofio;blow, inflate, puff
soke;sock, stocking
sole-fobo;heliophobia
sole-fogo;sunburn
sole-lense;sunglasses, shades
sole-luse;sunshine, sunlight
sole;sun
soli;soil, dirt, clay, mud
solidi;solid, firm
solo;single, alone, only
solu;solve, solution, loose, untie, dissolve
soma;summer
some-kosa;something
some-si-uno;someone, somebody, anyone
some-tempo;sometimes
some;some, few, an indefinite amount, somewhat
sonjo;dream
sono-bata;noisy dispute, argy-bargy
sono-fobo;misophonia
sono;sound
sonri;smile
sori;sorry, to be sorry, contrition, remorse
sosia-regula-gove;socialism
sosia;society, social
su-fero-maladi;hemochromatosis, haemochromatosis, iron overload (sickness)
su;too, too much
suave;smooth, soft, sleek, even
subita;sudden, suddenly, abrupt, to precipitate
Sudan;Sudan
Sude afrika;South Africa (country), Republic of South Africa
sude;south
sue;sew, stich, seam
sufi;enough, sufficient, suffice
suga-bela;cute (see 'mini-bela')
suga;sugar, sweet
sujesi;suggest, suggestion, hint, insinuation, propose (an idea)
sujo-ropa;laundry
sujo;dirty, grime, filth, to taint, corruption
suko;suck, suction
suma-foli;spreadsheet
suma;sum, total, calculate, score
Sumatra;Sumatra
sumete;surrender, submit, yield, give in, submission
sun;soon
Suomi;Finland, Suomi
supa-ato;condescending, patronizing
supa-go;go up, climb, rise (see 'leva')
supa;above, over, up
supe;soup
superise;surprise, astonish, shock, unexpected
suponji;sponge
supose;suppose, guess, conjecture, hypothesis, assume
sure-pedi-neso;sure-footedness
sure;certain, sure, certainty
susura;whisper, rustle, murmur
taba;board, plank, beam, slat
tabu;taboo, forbid, forbidden
tadi;late, tardy, delay
Tagalog;Tagalog, Wikang Tagalog
Tai;Thailand, Thai (language), Tai (language family)
talon;heel
tambo;drum
tamen;although, though, nevertheless, in spite of, however
tami;filter, sieve, colander
Tamiru;Tamil
Tansania;Tanzania (place, spider), United Republic of Tanzania
tape;carpet, rug
tari-kasa;museum
tari-saga;myth, legend
tari;history, historical
tarifa;charge, bill, tax
Tasmania;Tasmania
tavan;ceiling, roof
tea;tea
teata;theater, theatrical
teke;goat, antelope, ibex, a caprine
teki-man;technologist
teki;technology, technological, technical
tela;cloth, fabric
Telugu;Telugu
tema;theme, subject, topic, to be about, to concern
tempo-area;time zone
tempo-mesura;timekeeper
tempo-tolera;patience
tempo;time
ten-ano;decade
ten;ten, 10
tenden;tendency, bias, inclination, inclined to
teni;hold, grasp, cling to
tensa;tense (action + state + grammar), stretch, strained, tighten, fasten
tenta;try, attempt, experiment, trial, tentative, provisional
teoria;theory, theorize
tera-vibe;earthquake, temblor
tera;earth
terapi;therapy, treatment, treat, cure, therapeutic
tese;weave, woven, knit
teta;breast, tit, boob
tie;uncle, aunt
tila-kan;reachable
tila-savi;to start to understand, reach knowledge
tila;until, till, up to, approach, reach
timi;timid, shy, coy, reserved
tin;tin (see 'atomo-50'), can
tingi-fobo;acrophobia
tingi-sekola;high school
tingi-tingi-sekola;university
tingi;high, tall, height
tinta;tint, ink, hue
tipi;tent, teepee, hut
tipo;type, quality, kind, typical
tira;pull, tug
Titanik;RMS Titanic
tivi;tv, television
tobako;tobacco
toilete;toilet, urinal, restroom, wc, use bathroom
Tokio;Tokyo
tolera;tolerate, tolerance, tolerant, accepting
toma;take
tonere;thunder
topi-give-man;mayor, president, governor, head of government, chief minister, prime minister
topi-noga;lap (front of thighs)
topi;cap, hat, top, summit
tore;tower, skyscraper, turret, steeple, minaret
tori-fobo;ornithophobia
tori;bird
tose;cough, bark
toti;turtle, tortoise
tovari;companion, spouse, partner, comrade
tu-ale;you all
tu-ego;yourself
tu;second person, you
tubo-laji;sewer, drain
tubo;tube, pipe
Tuerk;twerk, twerking
tufan-fobo;astraphobia, lilapsophobia
tufan;storm, stormy, typhoon, hurricane
tuju;always, forever, ever
tumba;grave, tomb
tumo;tumor, swell, swelling, bulge
tupe-kavalo-sono;bray
tupe-kavalo;donkey, ass (animal)
tupe;dull, blunt, obtuse, dumb
Turki;Turkey
Turse;Turkish (language)
u;or, either
uben;exercise, training, practice, drill
ubuntu;kind, humane, humaneness, solidarity
udan;shrimp, lobster, a crustacean
Uganda;Uganda
Uimbeldon;Wimbledon (place, sports)
ujana-jeo;juvie, youth detention center, reform school, approved school
ujana;young, youth, a youth
uka;hook, hanger, crook (shepherd), mitre
Ukraina;Ukraine
ulu;owl
umile;humble, modest, humility, shame
unda-go;fall, descend
unda-meno;underscore character, low line, low dash, _
unda-sole;sunset, twilight, sundown
unda;under, below, down, fall
undon;sport, athletic, physical exercise
ungu;nail, hoof, claw
univesa-siensa;astronomy (see 'najima-siensa'), cosmology
univesa-viva-siensa;astrobiology
univesa;universe, univesal
uno-deo;monotheistic, monotheism
uno-kamera-domo;single room occupancy, studio flat, bedsit
uno-punto-sita-kilo-mita;mile (length)
uno;one, 1
Urdu;Urdu
Usbekistan;Uzbekistan
utero;womb, uterus
uti-make;service
uti;use, tool
Uu-linga;Wu Chinese (languages)
Uu;Wu (region)
vaga;wander, roam, rove
vagen;wagon, van, cart, bus, truck
vakansa-dia;bank holiday, national holiday
vakansa-navi;cruise ship (not to be confused with cruiser ship)
vakansa;vacation, holiday
vakili-name;pronoun
vakili-umile;proxyshame, fremdschämen
vakili;represent, stand for, representative, agent, envoy
vaku-man;spaceman
vaku;empty, vacuum, outer space, vacuous
Valensia;Valencia
vali;valley
valu;value, worth
vanila;vanilla
vanita;vanity, pride, proud
vapo;steam, vapor
vare;resource, wares, supply, merchandise, commodity
vari;vary, variety, various, variation, variance
vasa-fobo;aquaphobia
vasa-foreta;jungle
vasa-retili;crocodile, alligator, caiman
vasa;water
vasanta;spring (season)
Vatikan;The Vatican, Vatican City
ve;where
veji;plant, vegetable
veka;awake, wake, aware
vela;sail
ven;when
vende;sell, sale
vendeta;revenge, vengeful, to seek revenge
venemo;venom, poison, to poison
venera;respect, veneration, respectful
veni-ma-bon;improve, enhance, become better
veni-meno-bon;worsen, decline, get worse
veni;come, become
ventana;window, mirror, screen
vento-fobo;ancraophobia
vento;wind, windy
vepon;weapon, arms, to arm, weaponize
vere-fule-neso;honesty
vere-fule;honest, truthful
vere-make;implement, carry out
vere;true, truth, really
vese;west
veta;weather, climate
via-linga-man;translator
via-linga;translate, translation
via-relate;transitive (as in the relation between three objects) (not to be confused with 'ave-a')
via-sesi;transexual
via-vari-eleki-uti;transistor
via-viva;survive
via;through, across, trans-
vibe;vibe, shake, vibrate, agitate, vibration, turbulence
video-ludi;video game, videogame
video;video
Viet-linga;Vietnamese (language)
Vietnam;Vietnam, Viet Nam
vila;village, town
vile-tempo;period, interval (of time)
vile;while, during
vina-man;culprit, wrongdoer
vina-moda;whataboutery, whataboutism
vina;blame, fault, guilt
vinge;wing, brim, vane
vino-beri;grapes
vino;wine
vinta;winter
viola;viola, violin, a string instrument
violensa;violence, violent
vipi;whip, lash
viro-amigo;boyfriend
viro-feme;tomboy
viro-kinde;boy
viro-mari-feme;boywife, boy-wife
viro-paren;father
viro-semen-sela;spermatozoon, sperm, spermatozoa
viro-semen;semen, seminal fluid, cum
viro;man, male
viru;virus, viral
visita;visit
viva-kamera;living room
viva-kan;livable
viva-moda;lifestyle
viva-savi;experience
viva-siensa;biology
viva;life, live
voka;voice, call, call out, summon
vola-fobo;aerophobia
vola-muso;bat (animal)
vola;fly, flight
vole;want, desire
vomi-fobo;emetophobia
vomi-maladi;nauseous (see 'mare-maladi')
vomi;vomit
vori;worry, concern
vote;vote
vudu;curse, hex, jinx, spell
vuma;worm
vunda;wonder, miracle, marvel, wonderful
